Day,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Link clicks,Family Form Submission
2025-01-31,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.25,6,,
2025-01-31,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,6.03,152,5,
2025-01-31,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,13.51,319,3,
2025-01-31,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,4.82,116,2,
2025-01-31,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,1.41,85,1,
2025-01-30,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,3.38,313,1,
2025-01-30,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,7.61,216,1,
2025-01-30,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,10.16,226,4,
2025-01-30,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,9.5,211,6,
2025-01-30,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.34,10,,
2025-01-30,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,12.44,327,10,
2025-01-29,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,1.58,130,,
2025-01-29,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,17.13,286,5,
2025-01-29,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,3.41,76,1,
2025-01-29,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,10.37,258,2,
2025-01-29,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.18,8,,
2025-01-29,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,10.54,393,3,
2025-01-28,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,11.36,667,6,
2025-01-28,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,1.79,121,,
2025-01-28,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,4.66,134,2,
2025-01-28,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,12.89,761,6,
2025-01-28,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.2,6,,
2025-01-28,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,3.05,166,3,
2025-01-27,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,1.86,97,,
2025-01-27,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,5.3,339,4,
2025-01-27,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.34,24,,
